	ID	Locutor	Duração	F01m	F01v	F02m	F02v	F03m	F03v	F04m	F04v	Fdm	Fdv	Intensidade	F0m	F0v	SHRm	SHRv	CPPm	CPPv	H12m	H12v	H24m	H24v	H42km	H42kv	H2k5km	H2k5kv	tag	Posiçao	Fonetica	Fonologica	Ditongo	Palavra	Tonicidade	Precedente	Seguinte	Fechada	Silabas	Oral	LetraPre	LetraSeg	Sexo	Arquivo	CLASS_00	CLASS_01	CLASS_02	CLASS_03	CLASS_04	CLASS_05	CLASS_06	CLASS_07	CLASS_08	CLASS_09
3001	3001	20	-0.7756500984963889	0.07970021970429249	-0.6103338938172793	1.528430546212668	-0.18951935897727612	0.24223995387855513	0.432963537144005	-0.6149436647705414	0.5829093581813897	-0.6054034101934463	0.7127455706753497	-0.30969795041710796	-0.8495058425286371	-0.7313845202526829	-0.9126619146742613	-0.8210412082554444	-0.6694723531152507	1.7872114579188607	0.4998319622923088	-0.022490090233260252	-0.01217591567536121	-0.001347604202723751	-1.4436040927336866	0.008602466658316862	-0.8341162017565522	0.03409199913896821	'e-personagem-4-E-4'	0	'e'	'peX'	0	'personagem'	'E'	'p'	'X'	1	4	1	'p'	'r'	'M'	'Locutor_0020M_M1_S'	0	0	1	0	0	0	0	0	0	0
3002	3002	20	-0.6351676571573696	1.3088133627337852	-0.7991492290049295	0.28423419255558363	-0.8191191985798768	1.993035636815713	-0.9362993574632535	1.2054459553398682	-0.425780953561963	0.647307538799228	-0.42138401969223693	-0.21827055294976422	2.467290980918976	-0.7313845202526829	0.6533138435977262	-0.09806346370177906	-0.6752168902464458	-0.20929798018960932	0.48912284552110935	-0.019443198943098528	-1.0728701664059086	-0.03195535120688489	0.603918385196107	-0.013480898837688484	-0.9421463770962899	0.0609375428016882	'o-personagem-4-E-3'	1	'o'	'so'	0	'personagem'	'E'	's'	'NA'	0	4	1	's'	'n'	'M'	'Locutor_0020M_M1_S'	0	0	1	1	0	0	0	0	0	0
3003	3003	20	-0.6763668322805191	1.8099725875491492	-0.8965361493194284	0.9549230805602015	-0.8317317213814133	1.968350521103798	-0.9670922050382154	1.4572306496988003	-1.1866510170464795	0.6986412384697299	-1.1812371440802703	-0.020644112089073414	-0.4705406730008527	0.07714073424518411	-0.9126619146742613	-0.8210412082554444	-0.3593423755608003	0.5537747303604882	-0.5803997011075221	-0.02480906296415413	-0.7170861023978283	-0.5904124882581934	1.265181476155373	-0.0281077998155402	1.1126142878900056	0.004195051331881106	'a-personagem-4-T-0'	2	'a'	'na'	0	'personagem'	'T'	'n'	'NA'	0	4	1	'n'	'g'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	1	0	0	0	0	0
3004	3004	20	0.9259279659699948	1.2042978092147796	0.16206914069481285	-0.44567218881968657	-0.3092978580885872	1.048175388244038	-0.4657105737768532	0.3001845940926683	0.4324704164901927	-0.1622260417921073	0.4175837154056596	0.019704372402530437	-0.7593285667412174	0.4774961209159875	0.04799409441531272	0.5241366652900065	-0.8092407098470145	-0.31511930647674	0.6786835522578807	0.08136865177906304	-1.0903351898405578	-0.03300443509093972	1.1912305420621832	-0.019181956447649126	-0.48434637020369875	0.018965736219579643	'au-principal-3-T-0'	2	'au'	'palʊ'	1	'principal'	'T'	'p'	'l'	1	3	1	'p'	'na'	'M'	'Locutor_0020M_M1_S'	0	0	1	0	0	0	1	1	1	0
3005	3005	20	-0.8025689602143123	-0.6628414763789289	0.6004013348364526	-1.46466972581906	-0.6999006645861366	-1.1034520222038995	-0.8682560146321625	-1.5935349724810408	-1.238894446313094	-1.2487055504208957	-1.005902989777942	0.3463241807845412	-0.8495058425286371	-0.7313845202526829	-0.9126619146742613	-0.8210412082554444	1.0921134271858084	-0.5990406922379534	0.24369458127140187	-0.012061089998010501	0.38889677482653134	-0.01059995308125676	-1.5004664157951029	-0.05320451243446826	0.45650511279111183	0.019841622368145555	'E-é-1-T-0'	0	'E'	'ɛ'	0	'é'	'T'	'NA'	'NA'	0	1	1	'na'	'na'	'M'	'Locutor_0020M_M1_S'	0	0	0	0	0	0	0	0	0	0
3006	3006	20	-0.4725539202104945	0.8339710192475273	-0.15064765940521768	1.6721360086231543	-0.8597342188969138	0.9894183415956362	-0.8507032192733495	1.3982009209287554	-0.14756793630272433	1.0027128123845286	0.11763410606939247	-0.805107256827513	-0.23159553291669333	-0.5417139991165841	0.28350214178717514	0.06792130639384493	-0.3507456395338276	-0.7509719048214651	0.43637854833869066	-0.0964616240190573	-1.2363278379591245	-0.03400796795710699	0.5253810614870511	-0.028374257609784573	2.041431432248105	0.003704699741476044	'ai-mais-1-T-0'	0	'ai'	'ma'	1	'mais'	'T'	'NA'	'NA'	0	1	1	'm'	's'	'M'	'Locutor_0020M_M1_S'	0	0	0	0	0	0	0	0	0	0
3007	3007	20	-0.3163387159869775	-0.07862596687122525	1.2584910938380225	1.25108115067791	0.6557667245024684	0.7977185195671416	-0.08888323888909032	1.178177602082109	0.614290323361264	1.1326254288186084	0.036477078993677435	0.8483033225152028	0.05583799724115171	0.15377281430128115	-0.9126619146742613	-0.8210412082554444	0.512231915886614	0.2801460180116629	0.42804854698729783	-0.006342931743981136	0.36635655451867705	-0.019464285675209293	-0.4584061766285461	-0.021293871253741804	2.498653756689841	0.005511039444170812	'e-começou-3-E-3'	1	'e'	'me'	0	'começou'	'E'	'm'	'NA'	0	3	1	'm'	'ç'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	1	0	0	0	0	0
3008	3008	20	-0.5204051916414631	-0.10114723023096214	-0.7214101046488387	0.2006004012883309	-0.6316744675913556	1.0254413390092676	-0.04698955278991501	1.0395809465504262	0.6494452097229082	1.0110854394109465	0.7516353648361759	-0.3193855752742994	0.4487784434028771	0.5593543337401358	0.7556209589738844	0.07495960925352309	-0.36137023844789984	0.13474766600321111	-0.06079849970281186	-0.0031953528092847406	2.4256106337998458	-0.02031360529038083	0.7772356135979467	-0.026191898665661347	-0.2751066068605409	0.00965901644826821	'u-do-1-T-0'	0	'u'	'do'	0	'do'	'T'	'd'	'NA'	0	1	1	'd'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
3009	3009	20	-0.7641999393462611	-0.8707116427339638	-0.3967014009031065	-0.6932737645836251	0.4424579708600081	0.927443965248387	-0.6015585162950496	1.6063901799107065	0.1925881336692356	1.8254095767601834	0.25834967252148716	-0.3802633271988871	-0.8495058425286371	-0.7313845202526829	1.0723782911277757	-0.3157221923835862	-0.8633821557549098	0.8096586872758755	0.35733767148262896	-0.02249009023326025	-0.17264501817025063	-0.0013476042027237472	-1.0202358575950043	0.008602466658316871	-0.9369423360982536	0.03409199913896821	'u-do-1-T-0'	0	'u'	'do'	0	'do'	'T'	'd'	'NA'	0	1	1	'd'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
3010	3010	20	-0.38897407219235625	0.6571315750185207	2.533285410512216	-0.0025904447580952865	1.0546634060965856	-0.536469682858278	1.7958215733995693	-0.5075503207479364	1.9646077853591926	-0.7174141729482092	1.4415299876535619	1.6100823970098583	-0.8495058425286371	-0.7313845202526829	0.38130349401451236	0.25054809292076363	0.34661875433798883	1.6191809210974233	0.5267575951218086	-0.022481276782207547	-0.8808811885384134	-0.04232736024109266	-1.0328864746850244	0.00786237272630993	-0.6074910972965304	0.03449264147844537	'a-cara-2-T-0'	0	'a'	'ka'	0	'cara'	'T'	'k'	'NA'	0	2	1	'c'	'r'	'M'	'Locutor_0020M_M1_S'	0	0	0	0	0	0	0	0	0	0
3011	3011	20	-0.8871569090576713	-0.48545543186003726	-0.16846880421439228	-1.407451910008242	-0.776739122424291	-1.780006849222709	-0.8923596466343416	-1.6209519405220043	-1.2114493009682126	-1.3397031982339842	-1.2109455033052094	1.0728221288110824	-0.8495058425286371	-0.7313845202526829	1.0957714509598346	0.08146645368935161	-0.07367044243385802	0.9937157918442129	0.3999176751150019	-0.011703266666718467	-0.5260891705019253	0.019434203730080955	-0.5715115849074627	-0.009336361821899083	0.0019195891512219178	0.016855485988206582	'a-cara-2-O-2'	1	'a'	'ɾa'	0	'cara'	'O'	'ɾ'	'NA'	0	2	1	'r'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
3012	3012	20	-0.6699250905305284	-0.9146304145346349	1.8404075911350175	0.12167724151199913	2.779018704602487	0.13958078289281398	0.1275560582815656	-0.44363939740810565	1.7875399155923248	-0.07881427176310145	1.18959606976649	0.8363099150976405	0.01400505461031016	-0.7313845202526829	-0.9126619146742613	-0.8210412082554444	-0.29110909955644076	-0.029887910575949975	-0.5094133466783255	-0.0005258261702485591	1.456840676222735	-0.019007286164663614	-0.7936701067701761	-0.011744190953046426	1.9937527606155756	0.003810845260912446	'e-chegando-3-E-3'	0	'e'	'ʃe'	0	'chegando'	'E'	'ʃ'	'NA'	0	3	1	'h'	'g'	'M'	'Locutor_0020M_M1_S'	0	0	1	1	0	0	0	0	0	0
3013	3013	20	-0.5981874606488495	0.3106132369608189	1.5411213209950347	0.42408454902247783	0.8594875763287977	-0.021713478407847195	3.0046966347534703	-0.09790337361806074	4.97228084403396	-0.20608171189698896	4.642915954618863	0.8434658089619814	-0.8495058425286371	-0.7313845202526829	1.14590117166411	-0.03241946740379208	-0.21191638571087892	0.600010236196058	0.47414440986557327	-0.017138763562894573	-0.7224460884140943	-0.10997027023888678	-0.8387491719651926	-0.0004989351301615905	-0.4432897212863331	0.02681971443909845	'an-chegando-3-T-0'	1	'an'	'gɐ͂'	0	'chegando'	'T'	'g'	'NA'	1	3	0	'g'	'n'	'M'	'Locutor_0020M_M1_S'	0	1	0	0	0	0	0	0	0	0
3014	3014	20	0.11569878155750714	1.9194779554096562	-0.49056729946435673	0.4990556910518335	-0.7893569524950046	1.3162409278925553	-0.6345794053658084	1.5820188715408758	-0.24093900034823745	0.7752180065061943	-0.041155891291684836	0.7600048390708869	-0.26993081414506725	0.07733505033523662	-0.5625265851575205	1.3300233709677023	-0.14053940434906012	0.5874417127321072	0.7470419769916994	0.0084632340502132	-1.5108986743761803	-0.025891969404522926	1.2580066021283949	-0.02494805628321266	0.9143425957385779	0.007553348235433036	'a-lá-1-T-0'	0	'a'	'la'	0	'lá'	'T'	'l'	'NA'	0	1	1	'l'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	1	0	0	0	0	0	0
3015	3015	20	-0.6042428602822832	-0.11281794783795658	-0.8602147988834888	0.41771477132331025	-0.7647906723382917	1.638866327926086	-1.050838067288448	1.877762019575022	-0.9682456458516562	1.8005609372787121	-1.0019415387556703	-1.3845203167766469	-0.28942169188609784	-0.12028158600038524	-0.9126619146742613	-0.8210412082554444	-0.6094846951940991	-0.6828962143396429	0.2018355180800263	-0.03413806808381687	0.5971556683198981	-0.016612105546551337	1.710973051771921	-0.02788125044039815	-1.0631177503026117	-0.2656260221956006	'u-do-1-T-0'	0	'u'	'do'	0	'do'	'T'	'd'	'NA'	0	1	1	'd'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
3016	3016	20	2.1617112231746702	0.40402873646899	2.9120161960034783	-0.08856086510597357	0.7028040488556886	-0.5460740334170744	2.5602008774922456	-0.12944727172183634	1.1676037079391097	-0.27002695786544856	0.6959117558278247	0.055235701689414655	0.1383092659840841	3.615565674911991	0.2544231691022064	0.40760233000059665	-0.1971651948982151	1.495922175085663	0.662255017921553	0.19954618741494629	-0.6213758211154691	0.05577527176267714	1.0381133107759828	-0.027720352040075648	0.8382675730809014	0.006378471736156076	'a-nada-2-T-0'	0	'a'	'na'	0	'nada'	'T'	'n'	'NA'	0	2	1	'n'	'd'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	1	0	0	0	0	0
3017	3017	20	-0.731329121159568	-0.7203985681599544	1.7684993392355497	-1.613697463246486	-0.5902179234693383	-1.639675023646411	-0.6877256834277756	-1.1492414702377844	-1.1723716858816637	-0.8113143637447275	-0.5484693286851103	-0.3189505483470508	-0.8495058425286371	-0.7313845202526829	0.36303090947145245	0.22575437970877496	-0.14356112147568517	-0.6698962070857933	-0.23498741285492464	-0.014700700093866611	-0.060185506774920745	-0.005554509763067691	-0.6808770914935787	-0.003971961548771287	-0.6781087637197023	0.027923792504160667	'a-nada-2-O-2'	1	'a'	'da'	0	'nada'	'O'	'd'	'NA'	0	2	1	'd'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
